Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.0,0.0,0.0
bicycle,0.0,0.0,0.0
bird,0.0,0.0,0.0
boat,0.0,0.0,0.0
bottle,0.0,0.0,0.0
bus,0.0,0.0,0.0
car,0.0,0.0,0.0
cat,0.0,0.0,0.0
chair,0.0,0.0,0.0
cow,0.000643915003219575,0.015037593984962405,0.0012349490583513428
diningtable,0.0,0.0,0.0
dog,0.0,0.0,0.0
horse,0.0,0.0,0.0
motorbike,0.0,0.0,0.0
person,0.0,0.0,0.0
pottedplant,0.0,0.0,0.0
sheep,0.0,0.0,0.0
sofa,0.0,0.0,0.0
train,0.0,0.0,0.0
tvmonitor,0.0,0.0,0.0
Mean,0.000643915003219575,0.015037593984962405,0.0012349490583513428
