,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.03875904627081586,0.03781544967103713,0.03751191551625897,0.03723475033908068,0.0368834810726545,0.036484068992559134,0.03596314047566799,0.035372380246959385,0.03427789143037871,0.03293988134716028,0.03130482636633433,0.029263768122737063,0.026564339065250027,0.022603038277002333,0.016498515913680106,0.010750087290701496,0.0064146859228408305,0.0031337039072904626,0.0009143397328620841,7.288098318429615e-05,0.014752018558188302
chair,0.13699184883610369,0.13699184883610369,0.1365056314774957,0.13602027850530302,0.13602027850530302,0.13602027850530302,0.13602027850530302,0.13456940590721678,0.13264701051958266,0.1302634649793844,0.12509573079549482,0.1204885512019293,0.11418371668870851,0.11022007278133616,0.09751359247638063,0.07806489813206095,0.06846113286483589,0.05114401542065365,0.03761161389587601,0.011064146115879645,0.08138474703731555
car,0.10632492412928407,0.1045266491695919,0.1045266491695919,0.10185799379230884,0.10009806158229026,0.09448420374570321,0.09152845703023901,0.0877972282026261,0.08175105586346915,0.0684820680545464,0.03947817434831704,0.03340420351564672,0.03190308486592499,0.030436474690909508,0.026694222322765433,0.022986957713698523,0.017668339049598265,0.013207160125074049,0.007251093247650069,0.001346309797914538,0.022437601967749916
dog,0.044721963602572704,0.044159428777928694,0.044159428777928694,0.043600454300276106,0.043322302191571585,0.043322302191571585,0.04304504016961493,0.04140015985957991,0.038992920250007564,0.038729899616016576,0.03742814774727945,0.03514106984866745,0.03244366195929455,0.028712418312288716,0.022932640015095873,0.019069663529407574,0.011679718305346039,0.007178104578072179,0.003291540793565741,0.0003489140051589428,0.019822587909417648
bottle,0.15383443144637174,0.15383443144637174,0.1526623638563937,0.1526623638563937,0.15033167495854063,0.14344717852180539,0.14231544977813634,0.1356192012908431,0.13233158531665995,0.1206221146519654,0.11044776119402984,0.10455828963291651,0.10167406212182332,0.0941800008964188,0.08521581282775313,0.07341894132938909,0.058090179731970774,0.0426784993949173,0.02861592936219802,0.0017569808614584736,0.07006364573528753
cat,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09667055043604138,0.09580160607594142,0.09580160607594142,0.09580160607594142,0.09493658471520987,0.09236505862922556,0.08815764180661967,0.08083144048613808,0.07767734899394682,0.07155746997924733,0.05668734087333812,0.08496177037115497
bird,0.05656812116590995,0.05656812116590995,0.056009427095969226,0.056009427095969226,0.056009427095969226,0.055453505701313556,0.05490035698194295,0.054349980937857416,0.0527154888573112,0.05057498353724049,0.036833604824454996,0.034171836550791944,0.03373791286867917,0.03245277787405123,0.031192596956988877,0.029147748934252937,0.02756177867119537,0.025266003535160987,0.021316327591584933,0.008872560912210168,0.02805531487193706
pottedplant,0.05121846709272749,0.045584253375513965,0.04113978867140135,0.039425820744482025,0.03610728709874461,0.03450272137992652,0.032934623063808836,0.029173922160328936,0.025641142523726606,0.02363087694986644,0.016410331215185026,0.012325982112738977,0.008428528449132531,0.006933364938415674,0.00466782754565263,0.002206277863374876,0.0007703738820461861,0.00016410331215185026,4.1025828037962566e-05,0.0,0.005194781514673572
sheep,0.09810608195704866,0.09810608195704866,0.09810608195704866,0.09810608195704866,0.09480863536441012,0.08218251507806776,0.07916690152753508,0.07620765458542358,0.05707119102643594,0.03858294346429175,0.027084155346372808,0.02536497378952709,0.02536497378952709,0.022095710501099146,0.01761456513161603,0.011273321684234259,0.006341243447381772,0.0028183304210585647,0.0022828476410574378,0.0001127332168423426,0.014035285496871653
boat,0.10605893389250634,0.10469484604348306,0.10469484604348306,0.10333958724202627,0.09932678512305484,0.0902725968436155,0.08529301401611301,0.07926718905198102,0.07575764264429974,0.059401832027370045,0.045928705440900566,0.04153625427656991,0.04153625427656991,0.03818121620130229,0.03736452930140161,0.03189493433395872,0.02825295221278005,0.02225361439134753,0.01434278777176912,0.0042423573557002535,0.03055336055623
mAP,0.08892543688293816,0.087895166087903,0.08719866830016125,0.08649273082689299,0.08495784834285801,0.0812839921395907,0.07978378119844025,0.07704276726788575,0.07278564788679129,0.06598986150638832,0.05658130433543103,0.05320565351274664,0.05116381401608515,0.04807516591880337,0.04320593611205599,0.03669704726176982,0.030607184457413332,0.024552088407967337,0.01872249758438487,0.008450422412168677,0.03712611140188262
