,epoch,time_elapsed,total_time_elapsed
0,1,80.53327441215515,80.53327441215515
1,2,61.85217308998108,142.38544750213623
2,3,69.25083518028259,211.63628268241882
3,4,60.88308596611023,272.51936864852905
4,5,75.12053561210632,347.6399042606354
5,6,57.945104122161865,405.58500838279724
6,7,58.79500198364258,464.3800103664398
7,8,64.45680403709412,528.8368144035339
8,9,74.74484658241272,603.5816609859467
9,10,82.16655731201172,685.7482182979584
10,11,78.10849785804749,763.8567161560059
11,12,66.95635962486267,830.8130757808685
12,13,69.09669208526611,899.9097678661346
13,14,73.52775883674622,973.4375267028809
14,15,73.36773633956909,1046.80526304245
15,16,71.52439332008362,1118.3296563625336
16,17,72.41048073768616,1190.7401371002197
17,18,73.19775629043579,1263.9378933906555
18,19,72.98614382743835,1336.9240372180939
19,20,74.71323800086975,1411.6372752189636
